LS Jack - LS Jack,LS Jack,LS Jack,Pop Rock,A#,0,2015-06-06T11:20:46.302Z,385000,2125,-1,-1,%!s(bool=false),%!s(bool=false),54703,144581,0,0,2008-01-07T00:00:00.000Z,2705,"{0,0,0,0,1,2,0,1,1,0,0,0,1,0,1,0,0}","{0,0,0,0,1,2,0,1,1,0,0,0,1,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Alan Jackson - Up To My Ears In Tears,Alan Jackson,Up To My Ears In Tears,Country,D,0,2015-06-06T11:36:43.121Z,174000,8953,174666,15,%!s(bool=false),%!s(bool=false),558,5012,0,0,2013-04-06T00:00:00.000Z,789,"{2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0}","{2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Renato e Seus Blue Caps - Gosto de Você,Renato e Seus Blue Caps,Gosto de Você,Jovem Guarda,G,0,2015-06-06T11:30:28.982Z,162000,101,164666,6,%!s(bool=false),%!s(bool=false),1652,37899,0,0,2011-02-20T00:00:00.000Z,1565,"{0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0}","{0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
The Beatles - I'm Talking About You,The Beatles,I'm Talking About You,Rock,E,0,2015-06-06T10:48:07.093Z,115000,10447,-1,-1,%!s(bool=false),%!s(bool=true),395,199320,0,0,2007-12-09T00:00:00.000Z,2734,"{1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0}","{1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Jim Croce - Walking Back To Georgia,Jim Croce,Walking Back To Georgia,Country,A,0,2015-06-06T11:37:10.984Z,171000,31459,171666,30,%!s(bool=false),%!s(bool=false),698,246155,0,0,2010-03-14T00:00:00.000Z,1908,"{2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0}","{2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Sérgio Reis - Solidão,Sérgio Reis,Solidão,Sertanejo,A,0,2015-06-06T10:54:01.718Z,181000,15,181466,2,%!s(bool=false),%!s(bool=false),2742,1337,0,0,2013-05-16T00:00:00.000Z,749,"{1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0}","{1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Alan Jackson - Rusty Chevrolet,Alan Jackson,Rusty Chevrolet,Country,G,0,2015-06-06T11:36:44.280Z,-1,-1,-1,-1,%!s(bool=false),%!s(bool=false),418,56136,0,0,2011-11-13T00:00:00.000Z,1299,"{2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0}","{2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Porcupine Tree - Cure For Optimism,Porcupine Tree,Cure For Optimism,Rock Progressivo,E,0,2015-06-06T10:48:55.171Z,374000,95841,372533,16,%!s(bool=false),%!s(bool=false),45,91940,0,0,2010-10-01T00:00:00.000Z,1707,"{1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0}","{1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Teodoro e Sampaio - Câo de Guarda,Teodoro e Sampaio,Câo de Guarda,Sertanejo,C,0,2015-06-06T10:53:54.805Z,152000,0,153506,4,%!s(bool=false),%!s(bool=false),147,1824,0,0,2014-03-26T00:00:00.000Z,435,"{0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0}","{0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Conrado e Aleksandro - Fuso Horários,Conrado e Aleksandro,Fuso Horários,Sertanejo,C,0,2015-06-06T10:53:40.895Z,-1,-1,-1,-1,%!s(bool=false),%!s(bool=true),26415,216974,0,0,2010-09-27T00:00:00.000Z,1711,"{1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0}","{1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Alan Jackson - Between The Devil And Me,Alan Jackson,Between The Devil And Me,Country,D,0,2015-06-06T11:36:50.045Z,261000,16783,261866,34,%!s(bool=false),%!s(bool=false),2122,797701,0,0,2008-08-02T00:00:00.000Z,2497,"{1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0}","{1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Elvis Presley - Anything That´s Part Of You,Elvis Presley,Anything That´s Part Of You,Rockabilly,D,0,2015-06-06T11:09:13.884Z,126000,186,-1,-1,%!s(bool=false),%!s(bool=false),2437,30393,0,0,2012-11-22T00:00:00.000Z,924,"{2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0}","{2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Bee Gees - One Minute Woman,Bee Gees,One Minute Woman,Disco,G,0,2015-06-06T11:37:23.738Z,141000,10673,137613,15,%!s(bool=false),%!s(bool=false),2733,27328,0,0,2010-03-19T00:00:00.000Z,1903,"{1,0,0,2,0,1,0,2,0,0,3,0,2,1,2,0,0}","{1,0,0,1,0,2,0,3,0,0,2,0,1,2,2,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Temas Diversos - Campanha da Fraternidade 2006 (Os Filhos Dos Hebreus),Temas Diversos,Campanha da Fraternidade 2006 (Os Filhos Dos Hebreus),Infantil,F,0,2015-06-06T11:35:05.223Z,-1,-1,-1,-1,%!s(bool=false),%!s(bool=false),10847,1358042,0,0,2013-05-14T00:00:00.000Z,751,"{3,0,0,0,2,1,0,3,0,0,0,0,1,0,1,0,0}","{3,0,0,0,2,1,0,3,0,0,0,0,1,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Elvis Presley - I'm Leavin,Elvis Presley,I'm Leavin,Rockabilly,D,0,2015-06-06T11:07:46.076Z,231000,24119,230760,21,%!s(bool=false),%!s(bool=false),1158,64800,0,0,2012-09-23T00:00:00.000Z,984,"{1,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0}","{1,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Falamansa - Fique Na Saudade,Falamansa,Fique Na Saudade,Forró,C,0,2015-06-06T11:36:05.662Z,231000,8010,-1,-1,%!s(bool=false),%!s(bool=false),58442,991122,0,0,2008-06-20T00:00:00.000Z,2540,"{1,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0}","{1,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
Catedral - Sol De Primavera,Catedral,Sol De Primavera,Gospel/Religioso,D,0,2015-06-06T11:33:24.738Z,168000,4230,169373,20,%!s(bool=false),%!s(bool=false),51272,18778,0,0,2012-03-08T00:00:00.000Z,1183,"{2,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0}","{2,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0}"
Catedral - Dúvidas em Mim,Catedral,Dúvidas em Mim,Gospel/Religioso,D,0,2015-06-06T11:34:36.646Z,222000,3156,222840,19,%!s(bool=false),%!s(bool=true),34224,8712,0,0,2012-01-26T00:00:00.000Z,1225,"{1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0}","{1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0}"
Falamansa - Lixo No Lixo,Falamansa,Lixo No Lixo,Forró,D,0,2015-06-06T11:32:32.642Z,199000,631,-1,-1,%!s(bool=false),%!s(bool=false),1626,5674,0,0,2011-07-13T00:00:00.000Z,1422,"{1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0}","{1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
